Local de nascimento,Norte,Norte %,"Nordeste	",Nordeste %,Sudeste,Sudeste %,Sul,Sul %,Centro-Oeste,Centro-Oeste %
Norte,15105551,87,241556,"0,4",305595,"0,4",235799,"0,8",512323,"3,1"
Nordeste,1187167,"6,8",52826489,"96,6",6792639,8,522130,"1,7",1865363,"11,5"
Sudeste,372853,"2,1",1203698,"2,2",75281604,"88,7",1191922,4,1248306,"7,7"
Sul,218361,"1,3",110321,"0,2",1377350,"1,6",27515413,"91,9",609363,"3,7"
Centro-Oeste,294467,"1,7",203150,"0,4",538023,"0,6",182280,"0,6",11954083,"73,4"
Brasil sem especificação,6018,0,8391,0,23314,0,7209,0,7405,0
Pais estrangeiro,164798,"0,9",54066,"0,1",489756,"0,6",273480,"0,9",81956,"0,5"
Sem Declaração,5668,0,10844,0,31832,0,9474,0,10740,"0,1"
,,,,,,,,,,
,,,,,,,,,,
,,"
",,,,,,,,
