local_resid,local_nasc,pop
Norte,Norte,0
Norte,Nordeste,1187167
Norte,Sudeste,372853
Norte,Sul,110321
Norte,Centro-Oeste,294467
Nordeste,Norte,241556
Nordeste,Nordeste,0
Nordeste,Sudeste,1203698
Nordeste,Sul,110321
Nordeste,Centro-Oeste,203150
Sudeste,Norte,305595
Sudeste,Nordeste,6792639
Sudeste,Sudeste,0
Sudeste,Sul,1377350
Sudeste,Centro-Oeste,538023
Sul,Norte,235799
Sul,Nordeste,522130
Sul,Sudeste,1191922
Sul,Sul,0
Sul,Centro-Oeste,182280
Centro-Oeste,Norte,512323
Centro-Oeste,Nordeste,1865363
Centro-Oeste,Sudeste,1248306
Centro-Oeste,Sul,609363
Centro-Oeste,Centro-Oeste,0









